name,x,y,z,begin,end,category
Yliopistokatu 16,25.4725666,65.05775369999999,0,2018-12-26T20:44:16.000Z,2018-12-27T09:56:04.257Z,Home
Fotomylly Oy,25.470363499999998,65.0130229,0,2018-12-27T10:21:19.774Z,2018-12-27T10:38:42.230Z,Shopping
Viking Restaurant Harald,25.469201599999998,65.0113167,0,2018-12-27T10:42:45.648Z,2018-12-27T12:53:43.557Z,Food
Musée d'art d'Oulu,25.482217199999997,65.0190215,0,2018-12-27T13:07:55.180Z,2018-12-27T14:54:10.150Z,Socialization and Entertainment
Upseerinkatu 3,25.4974746,65.0173354,0,2018-12-27T15:04:03.639Z,2018-12-27T19:20:34.134Z,Socialization and Entertainment
Yliopistokatu 16,25.4725666,65.05775369999999,0,2018-12-27T20:46:20.000Z,2018-12-28T16:34:02.596Z,Home
