Rank,Time Spent (seconds),Number of People,Category
1,17820,1,Utilities
2,13410,1,Entertainment
3,6435,1,Communication & Scheduling
4,4262,1,Social Networking
5,2877,1,Reference & Learning
6,2253,1,Software Development
7,183,1,News & Opinion
8,65,1,Shopping
9,34,1,Uncategorized
10,2,1,Design & Composition
